round	key	quality	delta	hit_rate	mrr	p95	regressions	status	verdict	note
3	factual_tier2_boost	0.5456	-0.0007	0.6034	0.4106	148.1	0	discarded	discard	Raise tier2_boost for the factual shape in route.py (e.g. set cfg.tier2_boost = max(cfg.tier2_boost, 1.6) when parsed.shape=="factual"), mirroring the synthesis/prefer_tier paths — targets repeated mrr_partial losses where the canonical ledger fact sits at rank2-3 under chatty conversation items
4	bm25_magnitude_blend	0.5517	0.0054	0.6034	0.4311	153.9	0	keep	WIN	Blend normalized bm25 magnitude into FTS RRF contribution in _fuse(): for each FTS entry add alpha*normed_magnitude*contribution on top of rank-RRF so exact-lexical-match confidence gaps are visible to the ranker instead of being discarded by pure rank-based RRF
5	sender_participant_rrf_credit	0.5474	-0.0043	0.6034	0.4167	145.4	0	discarded	discard	For person-shaped factual queries, give items/cons whose sender or participants match query name tokens a small additive RRF bonus in _hydrate. Data is already on the row (sender, participants columns); scope the bonus to person-lookup queries to avoid perturbing topic queries. Diagnosed failure: gold cons land rank 6+ because name appears in content of unrelated docs and the person-as-participant signal is invisible to the current relevance fusion.
6	lexical_top_hit_step_credit	0.5251	-0.0266	0.5862	0.3826	148	1	discarded	discard	In _fuse(), add an additive RRF step bonus for the single best FTS hit only (rank==0): contribution += BETA * base_contribution when fts_rank==0, sweep BETA in [0.10, 0.20, 0.30]. This gives the exact lexical leader a fixed edge over vector-only near-ties without re-introducing the continuous bm25_magnitude_blend scaling. Target: yaams/retrieve/hybrid.py _fuse().
7	single_index_high_rank_credit	0.5463	-0.0054	0.6034	0.4129	156.4	0	discarded	discard	In _fuse(), when a doc is covered by exactly ONE index but ranks very high there (fts_rank<=2 OR vector_rank<=2), add a small additive RRF credit ~+1/(rrf_k+rank+1)*GAMMA, sweep GAMMA in [0.15, 0.3, 0.5]. Addresses FTS-only tier2 golds (deployment, hvem er jeg gift med, sleep timeline, Jan Guttormsen) that are structurally beaten by mediocre dual-coverage results because RRF caps at one index's contribution.
8	occurrence_relevance_floor_sweep	0.5463	-0.0054	0.6034	0.4129	154.4	0	discarded	discard	sweep OCCURRENCE_RELEVANCE_FLOOR / generalize relevance_floor to factual shape: relevance_floor is only set for first/last_occurrence (0.2); tried small floor (0.05-0.1) on factual to prune weak-tangential tail that pads top-k, and swept occurrence floor [0.15,0.25,0.3] — quality dropped; factual top-k padding did not yield measurable quality gain
1	fts_only_tier2_recovery	0.5463	0	0.6034	0.4129	149.4	0	discarded	discard	In _hydrate, for items where source==tier2_source AND comp.vector_rank is None AND comp.fts_rank is not None AND fts_rank<=1, add an ADDITIVE rrf credit equal to one extra index contribution 1/(cfg.rrf_k+fts_rank+1) before applying tier2_boost. Addresses the structural gap where FTS-only tier2 ledger facts (deployment, hvem er jeg gift med, sleep timeline, Jan Guttormsen) can never earn a second RRF contribution because they are absent from the vector index, so they always lose to mediocre dual-coverage items. The tight gate (tier2 + vec_rank None + fts_rank<=1) means non-relevant items are untouched, minimising regression risk.
2	rrf_k_split_fts_vec	0.5435	-0.0028	0.6034	0.4035	147	0	discarded	discard	Give FTS and vector their own rrf_k in _fuse (use cfg.rrf_k for FTS contributions, a separate vec_rrf_k for vector contributions), sweeping vec_rrf_k in [20,40,60] while holding FTS at 30. Add vec_rrf_k field to HybridQueryConfig (default = rrf_k) and branch in _fuse on the is_fts flag already computed.
3	vector_distance_gap_demote	0.5463	0	0.6034	0.4129	138.1	0	discard	discard	In _fuse()/_hydrate, demote vector-only candidates (fts_rank is None) whose vector_distance is far from the best vector hit — multiply rrf_score by clamp(1 - LAMBDA*(dist - best_dist)/best_dist, FLOOR, 1.0), compute best_dist as min vector_distance across fused, sweep LAMBDA in [0.3,0.5] FLOOR=0.7
4	rank_agreement_multiplier	0.5508	0.0045	0.6034	0.428	139	0	win	WIN	In _fuse(), after the accumulation loop, multiply rrf_score by (1 + DELTA) only when BOTH comp.fts_rank<=2 AND comp.vector_rank<=2 (mutual top-of-both agreement). Sweep DELTA in [0.05, 0.10, 0.15]. Implement as a post-loop pass over fused.values(). Start at DELTA=0.15. Verify regressions==0.
5	atomic_over_cons_near_tie_tiebreak	0.5508	0	0.6034	0.428	147	0	discarded	discard	In _hydrate, add a stable adjacent-swap pass: when an atomic item B sits directly below a consolidation A and abs(A.rrf_score-B.rrf_score) <= EPS*A.rrf_score, promote the atomic item above the cons; sweep EPS in [0.02,0.04]. Gate out when cfg.prefer_consolidations is True (synthesis shape). Ordering-only — no score changes, zero risk of inflating non-gold candidates. Targets the dominant correction pattern where tier2_ledger facts and atomic notes land rank2-3 a hair behind broad consolidations that merely co-mention the terms (hvem er jeg gift med, deployment, sleep timeline golds).
6	min_rank_near_tie_tiebreak	0.5508	0	0.6034	0.428	149.4	0	discarded	discard	In _hydrate, after sorting by rrf_score, do a stable bubble pass that swaps adjacent candidates A,B (A above B) when abs(A.rrf_score-B.rrf_score) <= EPS*A.rrf_score AND min(B.fts_rank,B.vector_rank) is strictly better (smaller, None=+inf) than min(A.fts_rank,A.vector_rank); sweep EPS in [0.01,0.02,0.03]
7	factual_tier2_boost_lexgated	0.5508	0	0.6034	0.428	145	0	discarded	discard	In _hydrate, raise tier2_boost for factual-shape queries ONLY when the candidate item lexically matched the query (comp.fts_rank is not None and comp.fts_rank <= 3 for tier2_ledger items), applying cfg.tier2_boost -> max(cfg.tier2_boost, 1.5) under that gate. Narrow per-result multiplier — not a blanket cfg knob — lifts only tier2 docs the query actually hit lexically at a strong FTS rank. Quality unchanged (0.5508, delta=0, regressions=0). DO NOT REVISIT.
8	subject_exact_match_credit	0.5508	0	0.6034	0.428	138.3	0	discarded	discard	In _hydrate_item, when ALL query topic tokens appear (casefolded substring) in row['subject'], add additive RRF credit BETA*comp.rrf_score, sweep BETA in [0.05, 0.10]. Gate is strict (all tokens must be present), fires only on subjects that fully contain the query intent (e.g. a ledger fact whose subject IS the answer), and stays silent on partial chatty matches. Targets factual golds whose subject exactly names the topic but sit at rank 2-3 under longer-body conversation items. Verify regressions==0.
